sample_code	recipe_summary_ko
FAL0001	어깨 길이 원랭스 컷. 일자로 떨어지는 무게감 있는 스타일. 앞머리 없음.
FAL2001	어깨 길이 레이어와 그라데이션. 앞머리 있는 자연스러운 볼륨 스타일. 측면 레이어.
FAL3001	어깨 길이 레이어 컷. 측면 자연스럽게 내려오는 스타일. 레이어 있음.
FAL3002	어깨 길이 단발 레이어. 측면 정돈된 스타일. 자연스러운 볼륨.
FAL3003	어깨 길이 단발 레이어. 측면과 정수리 레이어. 볼륨감 있는 스타일.
FAL3004	어깨 길이 단발 그라데이션. 일자 베이스에 레이어 추가. 가벼운 느낌.
FAL4001	어깨 길이 둥근 단발. 레이어로 볼륨감. 얼굴 감싸는 스타일.
FBL0001	가슴 길이 원랭스 컷. 일자로 떨어지는 생머리. 무게감 있는 롱헤어.
FBL1001	가슴 길이 그라데이션. 아래로 갈수록 가벼워지는 스타일. 자연스러운 볼륨.
FBL2001	가슴 길이 레이어 컷. 자연스럽게 내려오는 긴 머리. 레이어 있음.
FBL2002	가슴 길이 둥근 그라데이션. 레이어로 볼륨. 얼굴 감싸는 긴 머리.
FBL2003	가슴 길이 단발 레이어. 측면 레이어로 가벼운 느낌. 자연스러운 스타일.
FBL2004	가슴 길이 레이어 컷. 측면과 정수리 레이어. 볼륨감 있는 긴 머리.
FBL2005	가슴 길이 단발 레이어. 측면 레이어. 자연스러운 볼륨 스타일.
FBL2007	가슴 길이 둥근 컷. 앞머리 있는 긴 머리. 얼굴 감싸는 스타일.
FBL2009	가슴 길이 둥근 레이어. 측면 자연스럽게. 앞머리 있는 긴 머리.
FBL2010	가슴 길이 단발 레이어. 자연스러운 볼륨. 측면 레이어 있음.
FBL3001	가슴 길이 레이어 컷. 측면 레이어로 가벼운 느낌. 일자 베이스.
FBL3002	가슴 길이 둥근 레이어. 자연스러운 볼륨. 얼굴 감싸는 긴 머리.
FBL4002	가슴 길이 단발 레이어. 측면 레이어. 일자 베이스에 볼륨.
FCL1001	쇄골 길이 단발. 앞머리 있는 포인트 컷. 측면 자연스러운 스타일.
FCL1002	쇄골 길이 단발. 앞머리 있는 포인트 컷. 그라데이션 스타일.
FCL2002	쇄골 길이 단발. 안쪽 짧고 겉 긴 디스커넥션. 측면 정돈된 스타일.
FCL2003	쇄골 길이 단발 레이어. 그라데이션으로 볼륨. 자연스러운 느낌.
FCL2004	쇄골 길이 단발 레이어. 아래로 갈수록 가벼운 스타일. 자연스러운 볼륨.
FCL2006	쇄골 길이 일자 단발. 무게감 있는 베이스. 측면 정돈됨.
FDL1001	턱 아래 단발 레이어. 가볍고 자연스러운 스타일. 볼륨감 있음.
FDL1002	턱 아래 단발 레이어. 측면 레이어로 볼륨. 가벼운 느낌.
FDL1003	턱 아래 단발 그라데이션과 레이어. 자연스러운 볼륨. 측면 레이어.
FDL2001	턱 아래 단발 스퀘어 컷. 일자로 떨어지는 단발. 무게감 있음.
FDL2002	턱 아래 단발 그라데이션. 가벼운 느낌의 단발. 측면 정돈됨.
FDL2003	턱 아래 단발 그라데이션과 레이어. 볼륨감 있는 가벼운 단발.
FDL2004	턱 아래 단발 레이어. 자연스러운 볼륨. 측면과 정수리 레이어.
FDL3001	턱 아래 단발 레이어. 정수리 레이어로 볼륨. 얼굴 감싸는 스타일.
FEL1001	귀 길이 단발 레이어. 정수리 레이어로 볼륨. 측면 자연스러움.
FEL1002	귀 길이 단발. 안쪽 짧고 겉 긴 디스커넥션. 측면 레이어 있음.
FEL1003	귀 길이 단발 레이어. 정수리 볼륨. 측면 자연스러운 스타일.
FEL2001	귀 길이 단발 레이어. 가볍고 자연스러운 볼륨. 측면 레이어.
FEL2002	귀 길이 단발 그라데이션과 레이어. 앞머리 있음. 자연스러운 볼륨.
FEL2003	귀 길이 일자 단발. 무게감 있는 단발. 측면 정돈된 스타일.
FEL2004	귀 길이 단발 스퀘어 컷. 일자로 떨어지는 단발. 측면 짧음.
FEL2005	귀 길이 단발 레이어. 앞머리 있는 볼륨 스타일. 정수리 레이어.
FEL3001	귀 길이 단발 레이어. 측면과 정수리 레이어. 자연스러운 볼륨.
FFL1001	이마 길이 짧은 단발. 측면 짧게 정리. 스퀘어 컷.
FFL1002	이마 길이 짧은 단발. 앞쪽 짧고 뒤로 갈수록 긴 스타일. 볼륨감.
FFL1003	이마 길이 짧은 단발. 안쪽 짧고 겉 긴 디스커넥션. 측면 레이어.
FFL1004	이마 길이 짧은 단발. 앞쪽 짧은 스타일. 측면 정리됨.
FFL2001	이마 길이 짧은 단발. 측면 짧게 정돈. 깔끔한 스타일.
FFL2003	이마 길이 짧은 단발 그라데이션. 측면 짧고 정수리 긴 스타일. 볼륨.
FFL2004	이마 길이 짧은 단발 레이어. 측면과 정수리 레이어. 자연스러운 볼륨.
FFL2006	이마 길이 짧은 단발 레이어. 정수리 레이어. 측면 정돈된 스타일.
FFL3002	이마 길이 짧은 단발 그라데이션. 정수리 레이어로 볼륨. 가벼운 느낌.
FGL1001	매우 긴 생머리. 원랭스 컷. 일자로 떨어지는 무게감 있는 롱헤어.
FGL1004	매우 긴 머리 그라데이션. 아래로 갈수록 가벼워짐. 자연스러운 레이어.
FGL1005	매우 긴 원랭스 레이어. 일자 베이스에 레이어 추가. 자연스러운 볼륨.
FGL1008	매우 긴 머리 레이어. 정수리 레이어로 볼륨. 측면 자연스러운 스타일.
FGL1009	매우 긴 머리 레이어. 정수리와 측면 레이어. 볼륨감 있는 롱헤어.
FGL1011	매우 긴 머리 레이어. 앞쪽 짧고 뒤로 갈수록 긴 스타일. 자연스러운 볼륨.
FGL1013	매우 긴 원랭스 레이어. 정수리 레이어로 볼륨. 일자 베이스 긴 머리.
FGL2004	매우 긴 원랭스 레이어. 일자 베이스에 측면 레이어. 자연스러운 스타일.
FGL3001	매우 긴 원랭스 디스커넥션. 겉 길고 안쪽 짧은 스타일. 무게감 있음.
FHL1002	허리 길이 그라데이션. 아래로 갈수록 가벼운 롱헤어. 자연스러운 볼륨.
FHL1003	허리 길이 그라데이션과 레이어. 정수리 볼륨. 자연스러운 긴 머리.
FHL1006	허리 길이 그라데이션과 레이어. 정수리 볼륨. 측면 자연스러운 스타일.
FHL1008	허리 길이 그라데이션과 레이어. 정수리와 측면 레이어. 자연스러운 볼륨.
FHL1009	허리 길이 그라데이션. 아래로 갈수록 가벼워지는 긴 머리. 자연스러운 레이어.
FHL1011	허리 길이 레이어 컷. 측면 정돈되고 정수리 레이어. 볼륨감 있는 롱헤어.
FHL2001	허리 길이 그라데이션. 아래로 갈수록 가벼운 스타일. 자연스러운 롱헤어.
FHL3001	허리 길이 그라데이션과 레이어. 정수리 볼륨. 아래로 갈수록 가벼운 긴 머리.
FHL3002	허리 길이 레이어 컷. 정수리와 측면 레이어. 앞머리 있는 자연스러운 롱헤어.
